Activity,Common,Common
ActivityRecognition,Common,Common
AeCourse,AdultEducation,AdultEducation
AeProvider,AdultEducation,AdultEducation
AeStaff,AdultEducation,AdultEducation
AeStudentAcademicRecord,AdultEducation,AdultEducation
AeStudentEmployment,AdultEducation,AdultEducation
ApipInteraction,Common,Common
Assessment,Common,Common
AssessmentAccommodation,Common,Common
AssessmentAdministration,Common,Common
AssessmentAdministrationOrganization,Assessments,Assessments
AssessmentAssessmentAdministration,Assessments,Assessments
AssessmentAsset,Assessments,Assessments
AssessmentEldevelopmentalDomain,Assessments,Assessments
AssessmentForm,Common,Common
AssessmentFormAssessmentAsset,Assessments,Assessments
AssessmentFormAssessmentFormSection,Assessments,Assessments
AssessmentFormAssessmentFormSectionItem,Assessments,Assessments
AssessmentFormSection,Assessments,Assessments
AssessmentFormSectionAssessmentAsset,Assessments,Assessments
AssessmentFormSectionAssessmentItem,Assessments,Assessments
AssessmentItem,Common,Common
AssessmentItemApip,Common,Common
AssessmentItemApipDescription,Assessments,Assessments
AssessmentItemCharacteristic,Assessments,Assessments
AssessmentItemPossibleResponse,Assessments,Assessments
AssessmentItemResponse,Assessments,Assessments
AssessmentItemResponseTheory,Assessments,Assessments
AssessmentItemRubricCriterionResult,Assessments,Assessments
AssessmentLanguage,Assessments,Assessments
AssessmentLevelsForWhichDesigned,Assessments,Assessments
AssessmentNeedApipContent,Assessments,Assessments
AssessmentNeedApipControl,Assessments,Assessments
AssessmentNeedApipDisplay,Assessments,Assessments
AssessmentNeedBraille,Assessments,Assessments
AssessmentNeedScreenEnhancement,Assessments,Assessments
AssessmentParticipantSession,Assessments,Assessments
AssessmentParticipantSessionAccommodation,Assessments,Assessments
AssessmentPerformanceLevel,Assessments,Assessments
AssessmentPersonalNeedLanguageLearner,Assessments,Assessments
AssessmentPersonalNeedScreenReader,Assessments,Assessments
AssessmentPersonalNeedsProfile,Common,Common
AssessmentPersonalNeedsProfileContent,Assessments,Assessments
AssessmentPersonalNeedsProfileControl,Assessments,Assessments
AssessmentPersonalNeedsProfileDisplay,Assessments,Assessments
AssessmentPersonalNeedsProfileScreenEnhancement,Assessments,Assessments
AssessmentRegistration,Common,Common
AssessmentRegistrationAccommodation,Assessments,Assessments
AssessmentResult,Common,Common
AssessmentResultPerformanceLevel,Assessments,Assessments
AssessmentResultRubricCriterionResult,Assessments,Assessments
AssessmentSession,Assessments,Assessments
AssessmentSessionStaffRole,Assessments,Assessments
